,step,mnist-acc,mnistm-acc,domain-acc
274,2740.0,1.0,0.46875,0.890625
275,2750.0,0.96875,0.625,0.828125
276,2760.0,1.0,0.46875,0.828125
277,2770.0,0.96875,0.625,0.90625
278,2780.0,0.96875,0.71875,0.828125
279,2790.0,0.96875,0.71875,0.859375
280,2800.0,1.0,0.625,0.84375
281,2810.0,1.0,0.71875,0.921875
282,2820.0,0.9375,0.65625,0.90625
283,2830.0,1.0,0.625,0.90625
284,2840.0,1.0,0.65625,0.828125
285,2850.0,1.0,0.65625,0.875
286,2860.0,0.96875,0.6875,0.875
287,2870.0,1.0,0.75,0.796875
288,2880.0,0.96875,0.53125,0.9375
289,2890.0,0.9375,0.625,0.875
290,2900.0,0.9375,0.625,0.890625
291,2910.0,1.0,0.71875,0.8125
292,2920.0,0.96875,0.625,0.875
293,2930.0,0.96875,0.65625,0.890625
294,2940.0,0.90625,0.625,0.78125
295,2950.0,0.9375,0.59375,0.828125
296,2960.0,1.0,0.5625,0.90625
297,2970.0,0.9375,0.71875,0.875
298,2980.0,0.96875,0.5625,0.8125
299,2990.0,1.0,0.75,0.84375
300,3000.0,1.0,0.65625,0.859375
301,3010.0,1.0,0.71875,0.859375
302,3020.0,0.96875,0.59375,0.921875
303,3030.0,1.0,0.5625,0.859375
304,3040.0,0.96875,0.46875,0.875
305,3050.0,0.9375,0.5,0.859375
306,3060.0,1.0,0.71875,0.828125
307,3070.0,1.0,0.59375,0.875
308,3080.0,0.96875,0.53125,0.875
309,3090.0,1.0,0.5625,0.90625
310,3100.0,1.0,0.71875,0.921875
311,3110.0,1.0,0.5625,0.921875
312,3120.0,1.0,0.5625,0.859375
313,3130.0,0.90625,0.6875,0.90625
314,3140.0,0.96875,0.5625,0.859375
315,3150.0,0.9375,0.6875,0.953125
316,3160.0,0.90625,0.5625,0.921875
317,3170.0,0.90625,0.8125,0.875
318,3180.0,1.0,0.59375,0.96875
319,3190.0,1.0,0.65625,0.921875
320,3200.0,1.0,0.65625,0.875
321,3210.0,0.96875,0.6875,0.875
322,3220.0,1.0,0.59375,0.84375
323,3230.0,1.0,0.78125,0.859375
324,3240.0,0.9375,0.65625,0.859375
325,3250.0,0.96875,0.75,0.90625
326,3260.0,1.0,0.625,0.890625
327,3270.0,0.9375,0.59375,0.859375
328,3280.0,1.0,0.65625,0.921875
329,3290.0,1.0,0.75,0.875
330,3300.0,1.0,0.625,0.90625
331,3310.0,1.0,0.6875,0.875
332,3320.0,1.0,0.78125,0.9375
333,3330.0,1.0,0.59375,0.9375
334,3340.0,0.96875,0.46875,0.875
335,3350.0,0.96875,0.59375,0.953125
336,3360.0,0.96875,0.53125,0.875
337,3370.0,1.0,0.71875,0.9375
338,3380.0,0.9375,0.71875,0.828125
339,3390.0,0.96875,0.6875,0.875
340,3400.0,0.96875,0.6875,0.859375
341,3410.0,1.0,0.65625,0.875
342,3420.0,0.9375,0.78125,0.828125
343,3430.0,0.9375,0.59375,0.859375
344,3440.0,1.0,0.53125,0.84375
345,3450.0,1.0,0.71875,0.90625
346,3460.0,1.0,0.65625,0.828125
347,3470.0,1.0,0.65625,0.859375
348,3480.0,1.0,0.6875,0.953125
349,3490.0,1.0,0.625,0.875
350,3500.0,1.0,0.65625,0.90625
