,step,mnist-acc,mnistm-acc,domain-acc
444,4440.0,1.0,0.5,0.8125
445,4450.0,0.9375,0.46875,0.859375
446,4460.0,0.90625,0.46875,0.953125
447,4470.0,0.96875,0.65625,0.90625
448,4480.0,1.0,0.5625,0.890625
449,4490.0,1.0,0.5,0.953125
450,4500.0,0.9375,0.625,0.84375
451,4510.0,0.96875,0.625,0.890625
452,4520.0,0.9375,0.5,0.875
453,4530.0,0.96875,0.46875,0.859375
454,4540.0,1.0,0.71875,0.9375
455,4550.0,1.0,0.65625,0.890625
456,4560.0,0.9375,0.625,0.84375
457,4570.0,1.0,0.625,0.875
458,4580.0,1.0,0.5625,0.90625
459,4590.0,1.0,0.5,0.859375
460,4600.0,1.0,0.625,0.9375
461,4610.0,1.0,0.59375,0.859375
462,4620.0,0.96875,0.59375,0.890625
463,4630.0,0.9375,0.53125,0.890625
464,4640.0,0.96875,0.59375,0.859375
465,4650.0,1.0,0.6875,0.828125
466,4660.0,0.90625,0.5625,0.84375
467,4670.0,0.96875,0.40625,0.859375
468,4680.0,0.96875,0.65625,0.84375
469,4690.0,0.96875,0.625,0.8125
470,4700.0,1.0,0.59375,0.96875
471,4710.0,0.96875,0.4375,0.84375
472,4720.0,0.9375,0.625,0.84375
473,4730.0,0.875,0.53125,0.90625
474,4740.0,0.96875,0.6875,0.875
475,4750.0,0.96875,0.65625,0.90625
476,4760.0,1.0,0.65625,0.953125
477,4770.0,0.9375,0.5,0.890625
478,4780.0,1.0,0.59375,0.921875
479,4790.0,0.9375,0.59375,0.921875
480,4800.0,1.0,0.5625,0.921875
481,4810.0,0.9375,0.65625,0.875
482,4820.0,0.96875,0.46875,0.921875
483,4830.0,0.96875,0.5625,0.8125
484,4840.0,0.96875,0.5625,0.90625
485,4850.0,1.0,0.46875,0.9375
486,4860.0,0.96875,0.46875,0.890625
487,4870.0,1.0,0.65625,0.890625
488,4880.0,0.96875,0.65625,0.9375
489,4890.0,0.96875,0.53125,0.890625
490,4900.0,0.96875,0.78125,0.8125
491,4910.0,1.0,0.34375,0.90625
